"Address","Reason"
"0xe1ea2a7ff6864aa8555c85b61f506e1f674028ce","Whale L0 10+ txs"
"0x755593af4a992f1bbf7abfd58777fd94348c5b2d","Whale L0 10+ txs"
"0x9dc051ce8da00508838d152c35f1fb94de32b6ae","Whale L0 10+ txs"
"0xdb929968c9308736fd642cca1c2762d248fc7b1f","Whale L0 10+ txs"
"0xfda1c4fcc4d5b18da8671a66f34130afe4277bc1","Whale L0 10+ txs"
"0xf4a1f640bdb6928937484eab13631d39e0f82482","Whale L0 10+ txs"
"0x61ae7a8c957f8366357afc8c03c9f5b40fb60d20","Whale L0 10+ txs"
"0x3548501ba13bea724247980d732a749022e63881","Whale L0 10+ txs"
"0x712e10e25c79c0f69706fdd8c69b630c8c90cb13","Whale L0 10+ txs"
"0x07f9c45fd48e2ab1667aa9a59f38d78c3a09d7c7","Whale L0 10+ txs"
"0x3caa7ed55666474f053d34fd593c1c1c526d6071","Whale L0 10+ txs"
"0x26f1793ad28247cabfeacea3c9a5324edd9ff599","Whale L0 10+ txs"
"0x278121b8c16e5683b624f1ebb00a5b9fa3b2cada","Whale L0 10+ txs"
"0x7aabc3913ad17c6718814636855faefe61d94191","Whale L0 10+ txs"
"0x6a8d20810fda00f18edf9d4cdfcacce95eeb5b81","Whale L0 10+ txs"
"0xc81e04299762dab568f1e6787403e8701b37b4c8","Whale L0 10+ txs"
"0x60fcd57436d9dc20cc97157be1652e0b70ae97d2","Whale L0 10+ txs"
"0xeaf0f91638294f9497fdc6ad207231df208a9690","Whale L0 10+ txs"
"0x173e5a100af0b69d62c0a3b64915d7e2060dbf0f","Whale L0 10+ txs"
"0x569acc005364f28aebfda4e7c3e73a2f42f133ee","Whale L0 10+ txs"
"0x52450a23bca5ab334d7799a2f57ea4257584b549","Whale L0 10+ txs"
"0x10a3eaa3514567002661649361b0459f4a909308","Whale L0 10+ txs"
"0x8121a0dfa2380dc745dc19d511478c3494434942","Whale L0 10+ txs"
"0xc8c16c236a825f3dca939b84c1e34cf03507bbc5","Whale L0 10+ txs"
"0xf4ccb710bd113bf2a72f4428c6c2455080775edb","Whale L0 10+ txs"
"0xf1a3d5936736d7bc4bd46b7b1cb6cfbe8f719c00","Whale L0 10+ txs"
"0x19f17c1578c46154e076f8442bff27d2a1ceedfc","Whale L0 10+ txs"
"0x8ad5b4fd10d73d4f2bd1c22c81dc27e49768cb65","Whale L0 10+ txs"
"0x64bc6c0a969076c98e84046ae452faceebb99fd8","Whale L0 10+ txs"
"0xf0dc9b0cdfada96eeec67b684b70d2c90a840170","Whale L0 10+ txs"
"0x66d10b5d55d4e394639cb8cc49ed01b57309805b","Whale L0 10+ txs"
"0xa88a9cbe8d6b61d8d3ba0d29d595f78c83ef708e","Whale L0 10+ txs"
"0xa195cbb790067f5e1a5c6a118e72595a6a98bcc3","Whale L0 10+ txs"
"0x46da7747c4cf0cffd6b1255a092bb770bae7ac9e","Whale L0 10+ txs"
"0x72bdc6d617442f26b4a283e52ce54092d0aa6b13","Whale L0 10+ txs"
"0xc7c88e8a4936c11b4e049138df4ea0c56fa8590c","Whale L0 10+ txs"
"0x168555b660bb9c4f593163ff5701675127dbef96","Whale L0 10+ txs"
"0x11ebb7147ecfedca5c08c37848c138d3aff2de84","Whale L0 10+ txs"
"0x5e4cc975e6f5b288c285844078723ad8e0a20178","Whale L0 10+ txs"
"0xb18726cc34f513de30b8b648d94cc9409f078112","Whale L0 10+ txs"
"0x6d7f364c4c0cf7cdb194b82a34d6e4960715b632","Whale L0 10+ txs"
"0x1c57a5b2762f6c3d4a17d98f4b42eb6b5f65baa8","Whale L0 10+ txs"
"0x3730b68bcce758536ba7386c2e879e2a5d54c677","Whale L0 10+ txs"
"0xc9d5bde60b3111bb43a63f60fa56993da2ac3629","Whale L0 10+ txs"
"0xe7f59ec6d7eda85037b80e156dbbbfe30ade56e9","Whale L0 10+ txs"
"0x0debe8e3e2aa6c72cd559131fa361ab3ebf9e96f","Whale L0 10+ txs"
"0xe2aa2961990b4baf4194b080bf194aa1c1ab9850","Whale L0 10+ txs"
"0x20693cc64751626216c4c8cfd603386c01531091","Whale L0 10+ txs"
"0xdb2b8e0ed032ce1c9fdf1fcc67cb70ab22be593e","Whale L0 10+ txs"
"0xd874fbf95305dce7826ea33b6242a8e680faec36","Whale L0 10+ txs"
"0x3ccb9c0e49765e33e76e640f2ed63833fe5b3e55","Whale L0 10+ txs"
"0xcd3a486991cd0e4e50ecc78ec5c1c2076561dbc9","Whale L0 10+ txs"
"0x9e1b5a1d4158870253ae7819e81dd220b72ed834","Whale L0 10+ txs"
"0x09850f3f66d14393e30fb721e831c3fbb8a980b9","Whale L0 10+ txs"
"0xd24107f89b246cdf0489483c16ab25094a233521","Whale L0 10+ txs"
"0x455f290d449fce47616d1c98fc1b6d7d8141dcc0","Whale L0 10+ txs"
"0xc28bb6b329abdbe62b811bed531fad023feedbc3","Whale L0 10+ txs"
"0x47ff6d9f7bea077c901b745ed224e5fb8eba9676","Whale L0 10+ txs"
"0x758eeb23856191435aa765e722379cb81623d9c3","Whale L0 10+ txs"
"0xe3c4d74cd3e432b784e8c7cdcef1f7e450e77db8","Whale L0 10+ txs"
"0x3f0a9c0718b3d4c336c656b65416f39b4597548e","Whale L0 10+ txs"
"0x59a92f240d3f9292cfff23ad6c8c3bc3df14e456","Whale L0 10+ txs"
"0x1584dfeca4936e4516ceb9bba8c82936c3c44677","Whale L0 10+ txs"
"0x59a12d85977f6cd424afa7adb44870bfce1e27f2","Whale L0 10+ txs"
"0x195eabb91294c01693a2d7a56d887b3fa6b79ed5","Whale L0 10+ txs"
"0xe371487b584d51d7dc605b245da63042a3caec3f","Whale L0 10+ txs"
"0x2831ffb95f08db4ec0c711731098a1ec64873bbf","Whale L0 10+ txs"
"0x31a383754ba7dbf08459254f53660e84481fa03d","Whale L0 10+ txs"
"0xb5b33dd3fa8bcf8efb2dae60fbd03eef51c1fcd1","Whale L0 10+ txs"
"0xfcf43d1db747f149b1e021ccd25b3690d3a65ae7","Whale L0 10+ txs"
"0xd29d211b5f8a1e23ef7b2bf7606376466aa0b45e","Whale L0 10+ txs"
"0x17383801ae3480614a95756a97405d184a6b07f8","Whale L0 10+ txs"
"0xed53b9a5124919810973e98fccaa2f34425387ab","Whale L0 10+ txs"
"0xf3b64da0ed08537c3dd6db2a5be4f47da339cfc8","Whale L0 10+ txs"
"0x8992438ef443a92e6d60b3bbb1bd8bd2ad9dacff","Whale L0 10+ txs"
"0x58513380a0eb3eb866a6bd0dba50258ee2b40186","Whale L0 10+ txs"
"0xc24155cd591f40d848b1b3a2465d459309454150","Whale L0 10+ txs"
"0x984cc885e32d8079f5519ff08871c728e3b06501","Whale L0 10+ txs"
"0x7ce9726132c3a2bd6f7db147fab374d5c99e58b5","Whale L0 10+ txs"
"0xb6fa9160d9ace0c9523c82593e2f04248e0f4b44","Whale L0 10+ txs"
"0xe80f5c2f9010dd88485d761ff86bdf9189d59dfe","Whale L0 10+ txs"
"0xab929cfe3fb7f954c8f31f3918ca05137692231c","Whale L0 10+ txs"
"0x8ab9dfec06d668a4c9e5536c4662ee921051e611","Whale L0 10+ txs"
"0x19f24728ec8ad79c4317f1436580380337b86f54","Whale L0 10+ txs"
"0x19247747445aa0a0ae25b43910649b66028f4963","Whale L0 10+ txs"
"0x19a2fcfa3916a4b77a0c14e3a28a24f43081a341","Whale L0 10+ txs"
"0x84d87ffca003f8f90a04b0800532bceb99099f8b","Whale L0 10+ txs"
"0x3a42504c684cbff6c93d9ce509e26df345cec70c","Whale L0 10+ txs"
"0x974d79dd1dc1d51d483ff43602059165a32a7f7b","Whale L0 10+ txs"
"0xe2249559d3aa8e86c552c7b52a5adf341656b3bd","Whale L0 10+ txs"
"0x91a557d85c7e1e38e1c0789944c46a21843fd0e0","Whale L0 10+ txs"
"0x7adc99c5883bc8ff4fb45e06fb4d658598155f6e","Whale L0 10+ txs"
"0x5e8b9f5424e7cf6875c2c918a464d5a1dea4f61b","Whale L0 10+ txs"
"0xf4bbfb7d99f16a8ac6f8e7f3431e2a9602e4f4ae","Whale L0 10+ txs"
"0x30602ea2ca82a81b07a381b8ccb55454e77e35b3","Whale L0 10+ txs"
"0xa76ddd2fd9afe4b1377fe7e247359dad9e871ddf","Whale L0 10+ txs"
"0x16edfb1b05e1ddd6ceadb5be2b39f7b0cd04e0c0","Whale L0 10+ txs"
"0x50bd387e5a6986157881889373e4de2b5a337c61","Whale L0 10+ txs"
"0x01da5bd1e0ecfb38ac8cd7864eced1b48fa5de74","Whale L0 10+ txs"
"0xa55aa5c12c4c3dc9635022dd8d05b0410705957c","Whale L0 10+ txs"
"0x94794f31dbb6886c05783db62e56eed1c8cd4294","Whale L0 10+ txs"
"0xcf7a3929e9c7d92bde404e3fb2e39368b746f791","Whale L0 10+ txs"
"0x4596311d05431688124cd33562c81decf471cfeb","Whale L0 10+ txs"
"0x8fe3d10054b0ce1ae0ee55514178417e42601a29","Whale L0 10+ txs"
"0x4f7f5f80f57c34b64b1ef0122b9435887054364d","Whale L0 10+ txs"
"0x814c02313366737a24f65172d53eed28d977008d","Whale L0 10+ txs"
"0x8985dc4b1e5f04cb31f330434edfb30f01e6f03d","Whale L0 10+ txs"
"0x89b4358b68606a8072039711299579da7d8fcec5","Whale L0 10+ txs"
"0x6b3efee3e5f2639880bc902a87f38d099951a8a8","Whale L0 10+ txs"
"0xee658947a0cc080fd4a5679c64f722691a131539","Whale L0 10+ txs"
"0xe1e1c28a35eca760ee634a710158d2117827b40e","Whale L0 10+ txs"
"0x28eedf41e5d4acc4e2df70b3d458dff757bca15e","Whale L0 10+ txs"
"0x87b21dea2d3d29fc26e6c83036c7e642ee119211","Whale L0 10+ txs"
"0xd2726cfd3090950dc8f14415897347043eeddd91","Whale L0 10+ txs"
"0x6c9fe5bc9141ed61fdb6490b26280973edb2cf05","Whale L0 10+ txs"
"0x11ba78f680e5e49c2525bf10a2134af89d085190","Whale L0 10+ txs"
"0x4533d3ed0e4258c2285e5a023256e27690b52948","Whale L0 10+ txs"
"0x4752255e71819460efbe81c16ed4746a933e6062","Whale L0 10+ txs"
"0xe49eedeb8159d066081a10fdc97503444f9f9857","Whale L0 10+ txs"
"0x7fc09477f77f488e4d7f14865fd5810537fe4d48","Whale L0 10+ txs"
"0xf79fec03d0d601e9b6085fe0f735e7e13f2c9edb","Whale L0 10+ txs"
"0xfa0d6b2fa5fd5efe1bd712ffca8c28b87016af48","Whale L0 10+ txs"
"0x4a879e0ab8240c0db29824ae8dcffd172f73806e","Whale L0 10+ txs"
"0x2c979a9dbcf1382e1ffcd3c5df7e5d17bc4f3c6f","Whale L0 10+ txs"
"0x34c35ab9f197a775cf10d876f3cd9f166bf3552e","Whale L0 10+ txs"
"0x852c6f0eb3919e9e1f9ff927d980286a61484cbe","Whale L0 10+ txs"
"0xbaadee6e6283f37ba2f2e14d72faf00d1def86ca","Whale L0 10+ txs"
"0xab8e482a6e201a6f07e93dd1cf378df3ec4de079","Whale L0 10+ txs"
"0x458521f0b571a3d42ac2a46401964856f4a1be88","Whale L0 10+ txs"
"0x3cf16cec209cb4da236e7d7141279c707b3fa964","Whale L0 10+ txs"
"0x39e34b06a329a521be4d50c3672ca41a85b7c8bd","Whale L0 10+ txs"
"0xfd3149ea0092161f2673c93a1bbbcff2f1811871","Whale L0 10+ txs"
"0x21d9f4b2bf57fa3e06e5a0a737deb0b3deb0563f","Whale L0 10+ txs"
"0xa474445fd9938d860dffee627420d0e6159e96b8","Whale L0 10+ txs"
"0x14a6906ab1b39fc98e2d498e12cb3221c0f3db8c","Whale L0 10+ txs"
"0xef84fd69a050094efa186ca4763bb7146a72dd10","Whale L0 10+ txs"
"0xb2b2b97e572bd0013dd7554d12ffa4567d87ad48","Whale L0 10+ txs"
"0x1753f97cfef331ba73dac5b995de15b6ea7b3b4f","Whale L0 10+ txs"
"0x1f1fe4d73d62a4580a5b82c1ce7110dff565524c","Whale L0 10+ txs"
"0x7dbbb2416ea005f8c45d5c984bc161ebb45712bd","Whale L0 10+ txs"
"0xb87004a21b6bb529c17f874ee095f0c3344f0a9d","Whale L0 10+ txs"
"0x159aaa902b71c6cf26e91054168fc6cbeeb0319a","Whale L0 10+ txs"
"0x7a6bdeb06df8cbb5c54287d804477d965cdf5b4a","Whale L0 10+ txs"
"0x1c0c8461888073a63c8b0007c7ddfd935e03d35b","Whale L0 10+ txs"
"0x71159bdd5926442bebbcc6738f15b27a6b181ef1","Whale L0 10+ txs"
"0x215cbb917b6c76b8950deaa7b5276217c001090f","Whale L0 10+ txs"
"0xe292af91e4bd66f8338baf014198c2149ea49626","Whale L0 10+ txs"
"0x51481aa5cb1c00c1b3553f7784d29d2b49ee8e6c","Whale L0 10+ txs"
"0x6c34556bb9a4efde26d3e702f9b48fd30205360b","Whale L0 10+ txs"
"0xc967c74c82d702c5410873bb8b7dec681f958153","Whale L0 10+ txs"
"0xdfef36c055f933a668d063c1bb0af9e739f84ff2","Whale L0 10+ txs"
"0xb3a899db79aca38b822b8ad0bfb3eeb52d049d95","Whale L0 10+ txs"
"0x0d0a205d7636a61c4e60fbcb018f21e2c3a966b4","Whale L0 10+ txs"
"0x9be64302b0fd0760c46d35d419493de207673578","Whale L0 10+ txs"
"0xf94d5254c1aa2e99835161a8b3abbefd9899a209","Whale L0 10+ txs"
"0xa487bdd75895893de2d34aaa7e85c6cf34e15f97","Whale L0 10+ txs"
"0x83d73c91ad088d5e71e12fb057b1ceac2d21cd52","Whale L0 10+ txs"
"0xcf8817dd57c33982df9ed8e7b2e2e91b012dd47b","Whale L0 10+ txs"
"0x5589f49b2a3bf34d78992af4daaeb2c63562f74d","Whale L0 10+ txs"
"0x3214242f1839ac343807ac7127000d4f5478bf10","Whale L0 10+ txs"
"0xd94af3cca250ec56d8220de4e2f1e79c2011066c","Whale L0 10+ txs"
"0x9545b92eadcf601e6eb1e88ae521f51895ce67d0","Whale L0 10+ txs"
"0x7b148c1bfc73cb7234764bc4aad6e069e8e121c7","Whale L0 10+ txs"
"0xde637e1fa3d96cfe36c418dde3a2566936f0a78b","Whale L0 10+ txs"
"0xfec82c254920885b8902a1c6c49cb61aafa43bad","Whale L0 10+ txs"
"0x07d1470c34b29cd34688262129e9b47185e7cf0f","Whale L0 10+ txs"
"0xf4ee967971ce8cda186ac7a51109ab4af4516c8a","Whale L0 10+ txs"
"0x5300224c25296f924335528e3e91bf6ecb636bd9","Whale L0 10+ txs"
"0xab8537b6fa3db29fd5aceecda39300f67cc8379c","Whale L0 10+ txs"
"0x9bce9f287684d25ce84c39c5337a7ab38df763fe","Whale L0 10+ txs"
"0x1d6df6438babe6e7b7f585e461a24e6c289dd64c","Whale L0 10+ txs"
"0xb53011837f849f54278c9bcf75f8e4d43ac9eafa","Whale L0 10+ txs"
